ID,AC,GN,protein_name,GO_F Count,GO_P Count,GO_C Count,go_counts,bin,pmc_GN,PMC_protein_name,new_protein_name,match_result,processing_time
GGYF2_HUMAN,Q6Y7W6,GIGYF2,GRB10-interacting GYF protein 2 ,4,16,10,30,bin_5,100,35,GRB10-interacting GYF protein 2,1,3.47
RL11_HUMAN,P62913,RPL11,Large ribosomal subunit protein uL5 ,5,16,9,30,bin_5,276,13,60S ribosomal protein L11,0,2.91
PI3R4_HUMAN,Q99570,PIK3R4,Phosphoinositide 3-kinase regulatory subunit 4,4,14,12,30,bin_5,78,89,p85-beta regulatory subunit of phosphatidylinositol 3-kinase,0,1.94
PI51A_HUMAN,Q99755,PIP5K1A,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha ,6,16,8,30,bin_5,53,13,Phosphatidylinositide polyphosphatase phosphatidylinositol 4-phosphate 5-kinase type-1A,0,7.63
TOLIP_HUMAN,Q9H0E2,TOLLIP,Toll-interacting protein,8,11,11,30,bin_5,417,193,Toll-interacting protein,1,1.69
TP53B_HUMAN,Q12888,TP53BP1,TP53-binding protein 1 ,9,12,9,30,bin_5,934,32,Tumor protein p53-binding protein 1,0,0.38
GIPC1_HUMAN,O14908,GIPC1,PDZ domain-containing protein GIPC1,5,13,12,30,bin_5,188,29,GIPC1 cytoplasmic domain-binding protein,0,1.4
ADA15_HUMAN,Q71S69,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,6,17,7,30,bin_5,248,25,Disintegrin and metalloproteinase domain-containing protein 15,1,0.43
MTA1_HUMAN,Q13330,MTA1,Metastasis-associated protein MTA1,7,15,8,30,bin_5,692,382,Metastasis-associated protein 1,0,1.88
NDC80_HUMAN,O14777,NDC80,Kinetochore protein NDC80 homolog,4,17,9,30,bin_5,636,28,NDC80 kinetochore complex component,0,3.85
BC11B_HUMAN,Q9C0K0,BCL11B,B-cell lymphoma/leukemia 11B,5,22,3,30,bin_5,530,49,B-cell lymphoma/leukemia 11B transcription factor,0,2.97
CTND1_HUMAN,Q9UP71,CTNND1,Catenin delta-1,5,7,18,30,bin_5,470,1175,Catenin delta-1,1,0.25
MP2K5_HUMAN,Q13163,MAP2K5,Dual specificity mitogen-activated protein kinase kinase 5,7,22,1,30,bin_5,222,2,Dual specificity protein kinase MAP kinase kinase 5,0,0.78
FEN1_HUMAN,P39748,FEN1,Flap endonuclease 1 ,12,11,7,30,bin_5,937,904,Flap endonuclease 1,1,1.91
BDNF_HUMAN,Q9UC24,BDNF,BDNF precursor form ,2,20,8,30,bin_5,34343,132,Brain-derived neurotrophic factor,0,0.49
SHLB1_HUMAN,Q9Y371,SH3GLB1,Endophilin-B1,4,17,9,30,bin_5,79,48,SH3-domain-containing protein 2B,0,1.15
CXCR2_HUMAN,P25025,CXCR2,C-X-C chemokine receptor type 2,6,15,9,30,bin_5,3296,2216,C-X-C motif chemokine receptor 2,0,0.75
SOX18_HUMAN,P35713,SOX18,Transcription factor SOX-18,5,22,3,30,bin_5,270,710,SRY-box transcription factor SOX18,0,3.68
BRCC3_HUMAN,Q16107,BRCC3,Lys-63-specific deubiquitinase BRCC36,7,14,9,30,bin_5,116,2,FAM115A-binding protein 1,0,1.1
MBP_HUMAN,Q15338,MBP,Myelin basic protein,4,15,11,30,bin_5,16649,12876,Myelin basic protein,1,0.51
YES_HUMAN,P07947,YES1,Tyrosine-protein kinase Yes,7,16,7,30,bin_5,393,1009,Tec kinase,0,0.78
BST2_HUMAN,Q10589,BST2,Bone marrow stromal antigen 2,4,17,9,30,bin_5,758,125,Bone marrow stromal antigen 2,1,0.6
CSN5_HUMAN,Q92905,COPS5,COP9 signalosome complex subunit 5,8,13,9,30,bin_5,382,149,CSN5,0,0.44
BIRC3_HUMAN,Q13489,BIRC3,Baculoviral IAP repeat-containing protein 3,6,19,5,30,bin_5,736,395,Baculoviral IAP repeat-containing protein 3,1,4.14
SPTN2_HUMAN,O15020,SPTBN2,"Spectrin beta chain, non-erythrocytic 2",7,8,15,30,bin_5,108,16,"Spectrin beta chain, non-erythrocytic 2",1,4.9
BID_HUMAN,P55957,BID,BH3-interacting domain death agonist p11,3,23,4,30,bin_5,20158,3,"Bax inhibitor 1, BH3-interacting domain death agonist",0,5.11
FKBP8_HUMAN,Q14318,FKBP8,Peptidyl-prolyl cis-trans isomerase FKBP8,6,16,8,30,bin_5,141,98,FKBP proline-arginine repeat protein 8,0,1.58
CAMP3_HUMAN,Q9P1Y5,CAMSAP3,Calmodulin-regulated spectrin-associated protein 3 ,5,19,7,31,bin_5,51,26,CAMSAP protein 3,0,2.99
SRPK2_HUMAN,P78362,SRPK2,SRSF protein kinase 2 C-terminal,6,18,7,31,bin_5,100,0,Serine/arginine-rich protein-specific kinase 2,0,2.62
VAPA_HUMAN,Q9P0L0,VAPA,Vesicle-associated membrane protein-associated protein A ,6,15,10,31,bin_5,514,33,ADP-ribosylation factor regulator 1,0,3.38
CATC_HUMAN,Q7Z5U7,CTSC,Dipeptidyl peptidase 1 light chain,9,9,13,31,bin_5,352,46,Chymotrypsin C,0,0.36
ACM3_HUMAN,P20309,CHRM3,Muscarinic acetylcholine receptor M3,5,19,7,31,bin_5,223,4178,Muscarinic acetylcholine receptor M3,1,1.49
IF2B1_HUMAN,Q9NZI8,IGF2BP1,Insulin-like growth factor 2 mRNA-binding protein 1,6,11,14,31,bin_5,731,454,Insulin-like growth factor 2 mRNA-binding protein 1,1,0.35
KDM2B_HUMAN,Q8NHM5,KDM2B,Lysine-specific demethylase 2B,9,17,5,31,bin_5,199,28,Lysine-specific demethylase 2B,1,5.6
CD209_HUMAN,Q96QQ1,CD209,CD209 antigen,6,18,7,31,bin_5,565,1205,Dendritic cell-associated C-type lectin 1,0,3.21
MAFB_HUMAN,Q9Y5Q3,MAFB,Transcription factor MafB,6,22,3,31,bin_5,756,556,V-maf musculoaponeurotic fibrosarcoma oncogene homolog B,0,0.45
UBP8_HUMAN,P40818,USP8,Ubiquitin carboxyl-terminal hydrolase 8 ,6,15,10,31,bin_5,363,986,Ubiquitin carboxyl-terminal hydrolase 8,1,2.63
TRBP2_HUMAN,Q15633,TARBP2,RISC-loading complex subunit TARBP2 ,9,14,8,31,bin_5,90,0,Tristetraprolin-binding protein 2,0,3.09
AKAP6_HUMAN,Q13023,AKAP6,A-kinase anchor protein 6,6,15,10,31,bin_5,68,296,A-kinase anchoring protein 6,0,1.64
IRAK4_HUMAN,Q9NWZ3,IRAK4,Interleukin-1 receptor-associated kinase 4,7,16,8,31,bin_5,974,1984,Interleukin-1 receptor-associated kinase 4,1,1.22
ACL6B_HUMAN,O94805,ACTL6B,Actin-like protein 6B ,3,17,11,31,bin_5,28,3,Actin-like protein 6B subunit of the PBAF chromatin-remodeling complex,0,2.51
INTU_HUMAN,Q9ULD6,INTU,Protein inturned,0,24,7,31,bin_5,55,35,Inturned protein,0,0.29
IL23R_HUMAN,Q8IW84,IL23R,Interleukin-23 receptor,2,25,4,31,bin_5,1342,2232,Interleukin-23 receptor subunit beta-1,0,3.36
HXK2_HUMAN,P52789,HK2,Hexokinase-2 ,5,19,7,31,bin_5,6551,12453,Hexokinase-2,1,3.61
ABCC9_HUMAN,O60706,ABCC9,ATP-binding cassette sub-family C member 9,10,16,5,31,bin_5,422,49,ATP-binding cassette sub-family C member 9,1,0.63
LTOR1_HUMAN,Q6IAA8,LAMTOR1,Ragulator complex protein LAMTOR1 ,2,18,11,31,bin_5,91,28,Late endosomal/lysosomal protein LAMTOR1 subunit 1,0,2.14
AFG32_HUMAN,Q9Y4W6,AFG3L2,Mitochondrial inner membrane m-AAA protease component AFG3L2 ,7,21,3,31,bin_5,125,5,ATP-dependent zinc-metalloprotease DOA1,0,1.42
HNRPK_HUMAN,P61978,HNRNPK,Heterogeneous nuclear ribonucleoprotein K,6,13,12,31,bin_5,444,569,Heterogeneous nuclear ribonucleoprotein K,1,1.08
KCC2B_HUMAN,Q9Y6F4,CAMK2B,Calcium/calmodulin-dependent protein kinase type II subunit beta,8,14,9,31,bin_5,150,184,Calcium/calmodulin-dependent protein kinase type II subunit beta,1,0.8
STAU2_HUMAN,Q6AHY7,STAU2,Double-stranded RNA-binding protein Staufen homolog 2,7,11,13,31,bin_5,83,11,Double-stranded RNA-binding protein Stau2,0,0.95
ACM1_HUMAN,P11229,CHRM1,Muscarinic acetylcholine receptor M1,3,18,10,31,bin_5,158,5366,Muscarinic acetylcholine receptor M1,1,2.36
ACACB_HUMAN,O00763,ACACB,Acetyl-CoA carboxylase 2 ,5,21,5,31,bin_5,263,3622,Acetyl-CoA carboxylase 2,1,1.17
BRSK2_HUMAN,Q8IWQ3,BRSK2,Serine/threonine-protein kinase BRSK2,9,17,5,31,bin_5,70,50,Serine/threonine-protein kinase BRSK2,1,2.46
TENR_HUMAN,Q92752,TNR,Tenascin-R,0,22,9,31,bin_5,905,303,Transducin beta chain 1,0,1.5
TULP3_HUMAN,O75386,TULP3,Tubby-related protein 3 ,6,16,9,31,bin_5,67,3,Tubby protein 3-like 1,0,4.02
ABL2_HUMAN,Q7Z301,ABL2,Tyrosine-protein kinase ABL2,9,19,3,31,bin_5,249,129,Tyrosine-protein kinase ABL2,1,0.51
KAP0_HUMAN,P10644,PRKAR1A,cAMP-dependent protein kinase type I-alpha regulatory subunit,6,12,13,31,bin_5,815,49,Protein kinase cAMP-dependent type I regulatory subunit alpha,0,0.38
STAU1_HUMAN,O95793,STAU1,Double-stranded RNA-binding protein Staufen homolog 1,4,10,17,31,bin_5,232,20,Double-stranded RNA-binding protein 1,0,0.48
AGRG1_HUMAN,Q9Y653,ADGRG1,ADGRG1 C-terminal fragment,4,22,5,31,bin_5,199,9,Adhesion G protein-coupled receptor G1,0,1.25
TF2B_HUMAN,Q00403,GTF2B,Transcription initiation factor IIB ,10,10,11,31,bin_5,25,120,General transcription factor IIb subunit 1,0,0.36
FZD7_HUMAN,O75084,FZD7,Frizzled-7,6,21,4,31,bin_5,413,171,Frizzled-7,1,1.2
MED12_HUMAN,Q93074,MED12,Mediator of RNA polymerase II transcription subunit 12,9,16,6,31,bin_5,632,161,Mediator complex subunit 12,0,3.97
STA5A_HUMAN,P42229,STAT5A,Signal transducer and activator of transcription 5A,4,21,6,31,bin_5,1552,5578,Signal transducer and activator of transcription 5A,1,0.27
UBC9_HUMAN,P63279,UBE2I,SUMO-conjugating enzyme UBC9,9,11,11,31,bin_5,95,215,Ubiquitin-conjugating enzyme E2 I,0,3.85
GBRA5_HUMAN,P31644,GABRA5,Gamma-aminobutyric acid receptor subunit alpha-5 ,6,11,14,31,bin_5,296,255,GABA(A) receptor subunit alpha-5,0,1.75
TPC2_HUMAN,Q8NHX9,TPCN2,Two pore channel protein 2,8,15,8,31,bin_5,152,2817,Two-pore channel protein 2,0,0.7
PIAS4_HUMAN,Q8N2W9,PIAS4,E3 SUMO-protein ligase PIAS4 ,7,17,7,31,bin_5,178,73,Protein inhibitor of activated STAT 4,0,0.56
FBN1_HUMAN,P35555,FBN1,Asprosin ,8,16,7,31,bin_5,2617,249,Fibrillin-1,0,4.42
ZP3_HUMAN,P21754,ZP3,Processed zona pellucida sperm-binding protein 3,6,20,5,31,bin_5,869,4,Zona pellucida protein ZP3,0,5.24
PLF4_HUMAN,P02776,PF4,"Platelet factor 4, short form",4,22,5,31,bin_5,2932,4,Platelet factor 4,0,1.61
AT1A4_HUMAN,Q13733,ATP1A4,Sodium/potassium-transporting ATPase subunit alpha-4 ,6,18,7,31,bin_5,49,2,Sodium/potassium-transporting ATPase subunit alpha-4,1,6.02
NSSAQAFLGP,Q14683,SMC1A,Structural maintenance of chromosomes protein 1A,7,12,12,31,bin_5,287,59,Structural maintenance of chromosomes protein 1A,1,1.55
VVAVTGDGTN,P20020,ATP2B1,Plasma membrane calcium-transporting ATPase 1 ,8,11,12,31,bin_5,249,2824,Plasma membrane calcium-transporting ATPase 1,1,1.89
S27A4_HUMAN,Q6P1M0,SLC27A4,Long-chain fatty acid transport protein 4 ,9,16,6,31,bin_5,201,506,Acyl-CoA synthetase long-chain family member 4,0,1.84
OPTN_HUMAN,Q8N562,OPTN,Optineurin,5,16,10,31,bin_5,1682,623,Optineurin,1,0.66
PERM_HUMAN,P05164,MPO,Myeloperoxidase heavy chain,5,15,11,31,bin_5,17987,731,Myeloperoxidase,0,1.65
RYK_HUMAN,P34925,RYK,Tyrosine-protein kinase RYK ,7,19,5,31,bin_5,456,169,Receptor-type tyrosine-protein kinase RYK,0,4.92
EXOS9_HUMAN,Q06265,EXOSC9,Exosome complex component RRP45,4,16,11,31,bin_5,29,3,Exosome complex component RRP40,0,2.13
PER1_HUMAN,DPGHPDDPLF,PER1,Period circadian protein homolog 1,8,19,4,31,bin_5,2385,261,Period homolog 1,0,1.18
NCBP2_HUMAN,P52298,NCBP2,Nuclear cap-binding protein subunit 2,6,20,5,31,bin_5,61,72,Nuclear cap-binding protein subunit 2,1,0.75
ABCA4_HUMAN,P78363,ABCA4,Retinal-specific phospholipid-transporting ATPase ABCA4 ,14,9,8,31,bin_5,1145,1,ATP-binding Cassette Sub-Family A Member 4,0,1.25
P3C2A_HUMAN,O00443,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,6,14,11,31,bin_5,102,2,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,1,2.27
BIG2_HUMAN,Q9Y6D5,ARFGEF2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,4,9,18,31,bin_5,73,31,Big1 ARF-GAP 2,0,1.49
WASF2_HUMAN,Q9Y6W5,WASF2,Actin-binding protein WASF2 ,6,14,11,31,bin_5,145,126,Actin-binding protein WASF2,1,1.8
NCOA2_HUMAN,Q15596,NCOA2,Nuclear receptor coactivator 2,9,16,6,31,bin_5,600,668,Nuclear receptor coactivator 2,1,0.74
PECA1_HUMAN,Q9NPB7,PECAM1,Platelet endothelial cell adhesion molecule,2,20,9,31,bin_5,2523,9545,Platelet and endothelial cell adhesion molecule 1,0,1.72
USH1C_HUMAN,Q9Y6N9,USH1C,Harmonin,1,16,14,31,bin_5,209,111,Usher protein 1C,0,0.51
ANKR1_HUMAN,Q15327,ANKRD1,Ankyrin repeat domain-containing protein 1,8,16,7,31,bin_5,266,195,Ankyrin repeat domain-containing protein 1,1,4.13
BICD1_HUMAN,Q96G01,BICD1,Protein bicaudal D homolog 1,8,15,8,31,bin_5,50,20,Protein bicaudal D homolog 1,1,0.73
RUNX3_HUMAN,Q13761,RUNX3,Runt-related transcription factor 3,7,16,8,31,bin_5,1636,275,Runt-related transcription factor 3,1,0.93
ROA1_HUMAN,P09651,HNRNPA1,"Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed",11,11,9,31,bin_5,629,0,Heterogeneous nuclear ribonucleoprotein A1,0,0.25
SHOX2_HUMAN,O60902,SHOX2,Short stature homeobox protein 2,2,27,2,31,bin_5,300,221,Short stature homeobox 2,0,0.53
PCM1_HUMAN,Q9H4A2,PCM1,Pericentriolar material 1 protein ,2,16,13,31,bin_5,332,3131,Protein p62 dimerization cofactor 1,0,1.02
APBB1_HUMAN,Q96A93,APBB1,Amyloid beta precursor protein binding family B member 1 ,8,14,9,31,bin_5,204,42,Amyloid beta precursor protein-binding protein 1,0,0.51
NEK6_HUMAN,Q9HC98,NEK6,Serine/threonine-protein kinase Nek6 ,9,13,9,31,bin_5,145,118,NIM1-related serine/threonine-protein kinase Nek6,0,0.33
DLX5_HUMAN,P56178,DLX5,Homeobox protein DLX-5,6,22,3,31,bin_5,834,21,Distal-less homeobox protein 5,0,0.41
VEGFB_HUMAN,P49765,VEGFB,Vascular endothelial growth factor B,6,21,4,31,bin_5,828,444,Vascular endothelial growth factor B,1,1.31
RIMS1_HUMAN,Q9HBA1,RIMS1,Regulating synaptic membrane exocytosis protein 1,5,20,6,31,bin_5,149,519,Rab-interacting protein 1,0,0.28
SGRKLRRRTL,Q9NR48,ASH1L,Histone-lysine N-methyltransferase ASH1L,10,16,5,31,bin_5,152,84,Histone-lysine N-methyltransferase ASH1L,1,0.72
SAP_HUMAN,GTEKCIWGPS,PSAP,Saposin-D,11,9,11,31,bin_5,954,819,Saposin-like protein 1,0,0.99
E41L5_HUMAN,Q9HCM4,EPB41L5,Band 4.1-like protein 5,2,21,8,31,bin_5,46,152,Erythrocyte protein band 4.1-like 5,0,3.42
BBS7_HUMAN,Q8IWZ6,BBS7,Bardet-Biedl syndrome 7 protein,1,19,11,31,bin_5,89,4,Bardet-Biedl syndrome 7 protein,1,0.42
ALKB1_HUMAN,Q13686,ALKBH1,Nucleic acid dioxygenase ALKBH1 ,9,16,6,31,bin_5,141,68,Alpha-ketoglute alpha-aminomutase,0,0.45
RABX5_HUMAN,Q9UJ41,RABGEF1,Rab5 GDP/GTP exchange factor,5,20,6,31,bin_5,84,219,Ras protein-specific guanine nucleotide-exchange factor 1,0,1.19
ARI5A_HUMAN,Q03989,ARID5A,AT-rich interactive domain-containing protein 5A,12,15,4,31,bin_5,78,17,DNA-binding protein ARID5A,0,2.4
DDX17_HUMAN,Q92841,DDX17,Probable ATP-dependent RNA helicase DDX17,8,15,8,31,bin_5,193,1,Probable ATP-dependent RNA helicase DDX17,1,2.56
NOTC4_HUMAN,Q9UIJ0,NOTCH4,Notch 4 intracellular domain,5,18,8,31,bin_5,846,489,Notch 4 intracellular domain protein,0,0.59
EDA_HUMAN,Q9Y6L0,EDA,"Ectodysplasin-A, secreted form",5,17,9,31,bin_5,7013,50,Extracellular signal-regulated kinase/double-stranded RNA-activated protein kinase-like eukaryotic initiation factor 2 alpha kinase 2,0,2.68
EDN2_HUMAN,P20800,EDN2,Endothelin-2,2,27,2,31,bin_5,102,451,Preproendothelin-2,0,0.78
RAMP3_HUMAN,O60896,RAMP3,Receptor activity-modifying protein 3,4,21,6,31,bin_5,315,194,Receptor activity-modifying protein 3,1,2.24
EF1A1_HUMAN,P68104,EEF1A1,Elongation factor 1-alpha 1,8,6,17,31,bin_5,457,2736,Elongation factor 1-alpha 1,1,0.48
PRLR_HUMAN,Q9UHJ5,PRLR,Prolactin receptor,6,19,6,31,bin_5,1306,11766,Prolactin receptor alpha chain,0,0.91
EFNB2_HUMAN,P52799,EFNB2,Ephrin-B2,2,22,7,31,bin_5,300,1058,Ephrin-B2,1,2.13
GMIKMDVVDG,Q96RD7,PANX1,Caspase-activated pannexin-1 ,13,11,7,31,bin_5,846,3,Panx1,0,0.24
SAC2_HUMAN,Q9NT51,INPP5F,Phosphatidylinositide phosphatase SAC2 ,7,15,9,31,bin_5,53,1,Phosphatidylinositide phosphatase SAC2 homolog 1,0,2.75
NKX22_HUMAN,O95096,NKX2-2,Homeobox protein Nkx-2.2,4,24,3,31,bin_5,634,563,Homeobox protein NKX-2.2,1,1.09
PO3F2_HUMAN,P20265,POU3F2,"POU domain, class 3, transcription factor 2",7,21,3,31,bin_5,183,105,"POU domain, class 3, transcription factor 2",1,1.2
HEMH_HUMAN,P22830,FECH,"Ferrochelatase, mitochondrial",7,22,3,32,bin_5,367,309,Erythroid-specific DNA-binding protein,0,0.34
AREG_HUMAN,P15514,AREG,Amphiregulin ,5,19,8,32,bin_5,1399,1786,Amphiregulin,1,4.98
BMI1_HUMAN,P35226,BMI1,Polycomb complex protein BMI-1,5,19,8,32,bin_5,2676,583,Ring finger protein MRF,0,3.21
NDKB_HUMAN,P22392,NME2,Nucleoside diphosphate kinase B,8,13,11,32,bin_5,1011,1457,Nucleoside diphosphate kinase 2,0,1.2
MTMR2_HUMAN,Q13614,MTMR2,Myotubularin-related protein 2 ,4,13,15,32,bin_5,136,99,"Phosphatidylinositol 3,5-bisphosphate 3-phosphatase MTMR2",0,1.55
MMP12_HUMAN,P39900,MMP12,Macrophage metalloelastase,8,21,3,32,bin_5,1759,1059,Macrophage elastase,0,0.61
CXL13_HUMAN,O43927,CXCL13,C-X-C motif chemokine 13,8,22,2,32,bin_5,2393,608,B-lymphocyte chemoattractant,0,0.55
MYO1D_HUMAN,O94832,MYO1D,Unconventional myosin-Id,6,6,20,32,bin_5,63,11,Unconventional myosin-ID,1,2.95
MBD2_HUMAN,Q9UBB5,MBD2,Methyl-CpG-binding domain protein 2 ,9,16,7,32,bin_5,602,663,"Metastasis-associated protein 2, N-terminally processed",0,0.77
PLEK_HUMAN,P08567,PLEK,Pleckstrin,3,23,6,32,bin_5,110,3355,Pleckstrin,1,2.31
MRP5_HUMAN,Q9UQC3,ABCC5,ATP-binding cassette sub-family C member 5,13,13,6,32,bin_5,366,95,ATP-binding cassette sub-family C member 5,1,0.43
ALDOA_HUMAN,P04075,ALDOA,Fructose-bisphosphate aldolase A ,8,10,14,32,bin_5,330,7315,Fructose-bisphosphate aldolase A,1,0.46
NCK2_HUMAN,O43639,NCK2,Cytoplasmic protein NCK2,7,20,5,32,bin_5,143,37,Protein NCK2,0,4.53
MK07_HUMAN,Q13164,MAPK7,Mitogen-activated protein kinase 7,6,21,5,32,bin_5,271,795,Extracellular signal-regulated kinase 5,0,0.86
FLRT3_HUMAN,Q9NZU0,FLRT3,Leucine-rich repeat transmembrane protein FLRT3,4,13,15,32,bin_5,92,17,Leukocyte cell-derived protein 3,0,0.79
FGFR3_HUMAN,P22607,FGFR3,Fibroblast growth factor receptor 3,5,20,7,32,bin_5,3686,2290,Fibroblast growth factor receptor 3,1,1.12
CCAR2_HUMAN,Q9HD12,CCAR2,Cell cycle and apoptosis regulator protein 2,6,19,7,32,bin_5,125,16247,Cyclin-dependent kinase-activating kinase subunit 2,0,4.52
MCRS1_HUMAN,Q96EZ8,MCRS1,Microspherule protein 1,4,18,10,32,bin_5,73,31,Leucine-rich repeats and sterile alpha motif-domain-containing protein 1,0,2.45
UCHL5_HUMAN,Q9Y5K5,UCHL5,Ubiquitin carboxyl-terminal hydrolase isozyme L5,4,21,7,32,bin_5,202,8,Ubiquitin C-terminal hydrolase L5,0,0.89
MK09_HUMAN,Q8N5C5,MAPK9,Mitogen-activated protein kinase 9,5,19,8,32,bin_5,149,858,Mitogen-activated protein kinase 9,1,3.13
SMC5_HUMAN,Q8IY18,SMC5,Structural maintenance of chromosomes protein 5,4,16,12,32,bin_5,387,904,Structural maintenance of chromosomes protein 5,1,0.59
NCF1_HUMAN,Q9UDV9,NCF1,Neutrophil cytosol factor 1,6,17,9,32,bin_5,399,2298,Neutrophil cytosol factor 1,1,0.59
HCLS1_HUMAN,P14317,HCLS1,Hematopoietic lineage cell-specific protein,5,20,7,32,bin_5,156,363,HeLa cell-specific protein 1,0,1.42
FGF21_HUMAN,Q9NSA1,FGF21,Fibroblast growth factor 21,2,27,3,32,bin_5,3757,2979,Fibroblast growth factor 21,1,2.28
CD47_HUMAN,Q08722,CD47,Leukocyte surface antigen CD47,3,24,5,32,bin_5,2884,337,CD47 molecule,0,1.8
SMC3_HUMAN,Q9UQE7,SMC3,Structural maintenance of chromosomes protein 3,9,11,12,32,bin_5,624,1033,Structural maintenance of chromosomes protein 3,1,2.96
RL5_HUMAN,P46777,RPL5,Large ribosomal subunit protein uL18 ,7,12,13,32,bin_5,313,9,60S ribosomal protein L5,0,3.55
NOX1_HUMAN,Q9Y5S8,NOX1,NADPH oxidase 1,5,22,5,32,bin_5,1995,1011,NADPH oxidase 1,1,0.36
UBP7_HUMAN,Q93009,USP7,Ubiquitin carboxyl-terminal hydrolase 7,5,20,7,32,bin_5,888,1166,Ubiquitin-specific protease 7,0,0.92
RIT2_HUMAN,Q99578,RIT2,GTP-binding protein Rit2,7,14,11,32,bin_5,59,28,Ras-like without CAAL domain family member 2 protein,0,4.08
CCN2_HUMAN,P29279,CCN2,CCN family member 2 ,3,23,6,32,bin_5,2995,384,Connective tissue growth factor,0,0.85
DPEP1_HUMAN,P16444,DPEP1,Dipeptidase 1,8,15,9,32,bin_5,79,75,Dipeptidase 1,1,0.59
GBP5_HUMAN,Q96PP8,GBP5,Guanylate-binding protein 5,6,17,9,32,bin_5,192,201,Guanylate-binding protein 5,1,1.49
ABCG2_HUMAN,Q8IX16,ABCG2,Broad substrate specificity ATP-binding cassette transporter ABCG2 ,13,12,7,32,bin_5,6255,22,ATP-binding cassette sub-family B member 11,0,0.35
HPRT_HUMAN,P00492,HPRT1,Hypoxanthine-guanine phosphoribosyltransferase,5,24,3,32,bin_5,653,5452,Hypoxanthine-guanine phosphoribosyltransferase,1,2.12
XPC_HUMAN,Q01831,XPC,DNA repair protein complementing XP-C cells,8,11,13,32,bin_5,1575,12,Cockayne syndrome group D protein,0,0.55
CLIC4_HUMAN,Q9Y696,CLIC4,Chloride intracellular channel protein 4,1,14,17,32,bin_5,183,3007,Chloride intracellular channel 4,0,0.91
TOP1_HUMAN,P11387,TOP1,DNA topoisomerase 1,12,12,8,32,bin_5,1737,8542,DNA topoisomerase I,0,0.58
RECQ5_HUMAN,O94762,RECQL5,ATP-dependent DNA helicase Q5,11,14,7,32,bin_5,145,2352,DNA helicase RecQ-like protein 5,0,0.3
FFAR4_HUMAN,Q5NUL3,FFAR4,Free fatty acid receptor 4,5,21,6,32,bin_5,504,2422,Free fatty acid receptor 4,1,0.75
PIM1_HUMAN,P11309,PIM1,Serine/threonine-protein kinase pim-1,7,19,6,32,bin_5,1789,1035,Pim-1 kinase,0,2.66
TYSY_HUMAN,P04818,TYMS,Thymidylate synthase ,5,21,6,32,bin_5,884,6123,Thymidylate synthase,1,1.09
IL2RG_HUMAN,P31785,IL2RG,Cytokine receptor common subunit gamma,5,18,9,32,bin_5,1210,1257,Common gamma-chain,0,2.64
B3AT_HUMAN,P02730,SLC4A1,Band 3 anion transport protein ,9,14,9,32,bin_5,456,2197,Sodium bicarbonate cotransporter 1,0,1.11
KLF2_HUMAN,Q9Y5W3,KLF2,Krueppel-like factor 2,6,25,1,32,bin_5,1245,47,Kruppel-like factor 2 (basic helix-loop-helix transcription factor 2),0,0.91
EFNA5_HUMAN,P52803,EFNA5,Ephrin-A5,6,20,6,32,bin_5,431,417,Ephrin-A5,1,0.95
CCR5_HUMAN,Q9UPA4,CCR5,C-C chemokine receptor type 5 ,9,18,5,32,bin_5,11154,1300,C-C chemokine receptor type 5,1,0.69
DLX2_HUMAN,Q07687,DLX2,Homeobox protein DLX-2,8,22,2,32,bin_5,422,37,Homeobox protein Dlx-2,1,0.91
CASP4_HUMAN,Q9UG96,CASP4,Caspase-4 subunit p20,4,18,10,32,bin_5,727,2,"Caspase-4, apoptosis-related cysteine peptidase subunit p10",0,2.36
RBBP4_HUMAN,Q09028,RBBP4,Histone-binding protein RBBP4,3,16,13,32,bin_5,205,16,Repression of estrogen receptor-binding fragment 1 protein,0,3.01
INSM1_HUMAN,Q01101,INSM1,Insulinoma-associated protein 1,8,21,3,32,bin_5,354,363,INSM1 transcription factor homeobox,0,0.33
TLR8_HUMAN,Q9NR97,TLR8,Toll-like receptor 8 ,7,19,6,32,bin_5,1660,1051,Toll-like receptor 8,1,0.69
GOGA2_HUMAN,Q08379,GOLGA2,Golgin subfamily A member 2,6,17,9,32,bin_5,50,185,Golgin A2,0,1.42
CANB1_HUMAN,P63098,PPP3R1,Calcineurin subunit B type 1,7,15,10,32,bin_5,86,44,"Protein phosphatase 3, regulatory subunit B, alpha",0,3.68
INHA_HUMAN,P05111,INHA,Inhibin alpha chain,6,18,8,32,bin_5,11861,859,Inhibitory subunit of heterotrimeric G-protein G(i),0,2.42
ING2_HUMAN,Q9H160,ING2,Inhibitor of growth protein 2,8,20,4,32,bin_5,147,151844,Inhibitor of growth protein 2,1,2.21
ROA2_HUMAN,P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,9,12,11,32,bin_5,469,233,Heterogeneous nuclear ribonucleoprotein A2B1,0,0.98
