ID,AC,gene_symbol,protein_name,GO_F Count,GO_P Count,GO_C Count,all_go_counts,bin,normalized_protein,normalized_gene_name,MATCH,PMC_ID,Rank,PMC_PROTEIN,HGNC_symbol,gene_id,gene_name,Bin2,predicted_gene_name,pmatch
LGR4_HUMAN,Q9BXB1,LGR4,Leucine-rich repeat-containing G-protein coupled receptor 4,4,20,1,25,bin_5,Leucine-rich repeat-containing G-protein coupled receptor 4,LGR4,1,2797,1572,4610,LGR4,HGNC:13299,leucine rich repeat containing G protein-coupled receptor 4,8,ret proto-oncogene,0
VAV2_HUMAN,Q6Q317,VAV2,Guanine nucleotide exchange factor VAV2,4,14,3,21,bin_5,Guanine nucleotide exchange factor VAV2,VAV2,1,3106,1463,1515,VAV2,HGNC:12658,vav guanine nucleotide exchange factor 2,8,ret proto-oncogene,0
LTK_HUMAN,P29376,LTK,Leukocyte tyrosine kinase receptor ,5,12,3,20,bin_5,Leukocyte tyrosine kinase receptor,LTK,1,2921,1528,84722,LTK,HGNC:6721,leukocyte receptor tyrosine kinase,8,mitogen-activated protein kinase 1,0
VGF_HUMAN,O15240,VGF,Antimicrobial peptide VGF[554-577],3,14,8,25,bin_5,no appropriate match,XXXX,0,3116,1454,0,VGF,HGNC:12684,VGF nerve growth factor inducible,8,ret proto-oncogene,0
RL5_HUMAN,P46777,RPL5,Large ribosomal subunit protein uL18 ,7,12,13,32,bin_5,Large ribosomal subunit protein uL18,RPL5,1,3293,1396,271,RPL5,HGNC:10360,ribosomal protein L5,8,prostaglandin-endoperoxide synthase 2,0
LOX15_HUMAN,P16050,ALOX15,Polyunsaturated fatty acid lipoxygenase ALOX15 ,5,25,5,35,bin_5,Polyunsaturated fatty acid lipoxygenase ALOX15,ALOX15,1,3275,1405,1220,ALOX15,HGNC:433,arachidonate 15-lipoxygenase,8,albumin,0
SEC13_HUMAN,LLTYTGEGQW,SEC13,Protein SEC13 homolog ,2,11,12,25,bin_5,protein,SEC13,1,2926,1527,1380,SEC13,HGNC:10697,"SEC13 homolog, nuclear pore and COPII component",8,prostaglandin-endoperoxide synthase 2,0
SMCA2_HUMAN,P51531,SMARCA2,Probable global transcription activator SNF2L2,10,22,11,43,bin_5,Probable global transcription activator SNF2L2,SMARCA2,1,2930,1524,34,SMARCA2,HGNC:11098,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 2,8,prostaglandin-endoperoxide synthase 2,0
DRD3_HUMAN,P35462,DRD3,D(3) dopamine receptor ,2,36,2,40,bin_5,D(3) dopamine receptor,DRD3,1,2879,1543,159888,DRD3,HGNC:3024,dopamine receptor D3,8,epidermal growth factor receptor,0
CH60_HUMAN,P10809,HSPD1,"60 kDa heat shock protein, mitochondrial",17,30,18,65,bin_5,"60 kDa heat shock protein, mitochondrial",HSPD1,1,2929,1525,20216,HSPD1,HGNC:5261,heat shock protein family D (Hsp60) member 1,8,interleukin 6,0
BMR1B_HUMAN,O00238,BMPR1B,Bone morphogenetic protein receptor type-1B,9,24,5,38,bin_5,Bone morphogenetic protein receptor type-1B,BMPR1B,1,3094,1472,553,BMPR1B,HGNC:1077,bone morphogenetic protein receptor type 1B,8,CYP1A1,0
GREM1_HUMAN,O60565,GREM1,Gremlin-1,7,41,3,51,bin_5,Gremlin-1,GREM1,1,3254,1411,2005,GREM1,HGNC:2001,"gremlin 1, DAN family BMP antagonist",8,epidermal growth factor receptor,0
DMRT1_HUMAN,Q9Y5R6,DMRT1,Doublesex- and mab-3-related transcription factor 1,8,20,4,32,bin_5,Doublesex- and mab-3-related transcription factor 1,DMRT1,1,2876,1546,558,DMRT1,HGNC:2934,doublesex and mab-3 related transcription factor 1,8,epidermal growth factor receptor,0
PLK4_HUMAN,O00444,PLK4,Serine/threonine-protein kinase PLK4 ,4,6,10,20,bin_5,Serine/threonine-protein kinase PLK4,PLK4,1,3116,1455,245,PLK4,HGNC:11397,polo like kinase 4,8,prostaglandin-endoperoxide synthase 2,0
KIF3A_HUMAN,Q9Y496,KIF3A,Kinesin-like protein KIF3A,8,8,11,27,bin_5,Kinesin-like protein KIF3A,KIF3A,1,3105,1465,346,KIF3A,HGNC:6319,kinesin family member 3A,8,interleukin 6,0
CMGA_HUMAN,P10645,CHGA,p-Glu serpinin precursor,0,21,7,28,bin_5,no appropriate match,XXXX,0,3192,1432,2,CHGA,HGNC:1929,chromogranin A,8,cytochrome P450 family 2 subfamily C member 19,0
MRP3_HUMAN,Q86X85,ABCC3,ATP-binding cassette sub-family C member 3,11,7,4,22,bin_5,ATP-binding cassette sub-family C member 3,ABCC3,1,2861,1550,4517,ABCC3,HGNC:54,ATP binding cassette subfamily C member 3,8,adenosine deaminase,0
PRDX2_HUMAN,P32119,PRDX2,Peroxiredoxin-2,2,21,3,26,bin_5,Peroxiredoxin-2,PRDX2,1,2852,1554,13472,PRDX2,HGNC:9353,peroxiredoxin 2,8,prostaglandin-endoperoxide synthase 2,0
ENPP1_HUMAN,P22413,ENPP1,"Ectonucleotide pyrophosphatase/phosphodiesterase family member 1, secreted form ",19,26,6,51,bin_5,"Ectonucleotide pyrophosphatase/phosphodiesterase family member 1, secreted form",ENPP1,1,3115,1456,584,ENPP1,HGNC:3356,ectonucleotide pyrophosphatase/phosphodiesterase 1,8,epidermal growth factor receptor,0
HIP1_HUMAN,O00291,HIP1,Huntingtin-interacting protein 1,14,17,16,47,bin_5,Huntingtin-interacting protein 1,HIP1,1,2632,1650,1649,HIP1,HGNC:4913,huntingtin interacting protein 1,9,interleukin 6,0
ASCL2_HUMAN,Q99929,ASCL2,Achaete-scute homolog 2,9,17,4,30,bin_5,Achaete-scute homolog 2,ASCL2,1,2524,1711,2735,ASCL2,HGNC:739,achaete-scute family bHLH transcription factor 2,9,androgen receptor,0
PHB2_HUMAN,Q99623,PHB2,Prohibitin-2,6,32,16,54,bin_5,Prohibitin-2,PHB2,1,2578,1681,1710,PHB2,HGNC:30306,prohibitin 2,9,forkhead box P3,0
SDC4_HUMAN,P31431,SDC4,Syndecan-4 ,4,11,7,22,bin_5,Syndecan-4,SDC4,1,2442,1755,5416,SDC4,HGNC:10661,syndecan 4,9,prostaglandin-endoperoxide synthase 2,0
OSR1_HUMAN,Q8TAX0,OSR1,Protein odd-skipped-related 1,4,51,4,59,bin_5,Protein odd-skipped-related 1,OSR1,1,2651,1641,608,OSR1,HGNC:8111,odd-skipped related transcription factor 1,9,nuclear receptor subfamily 3 group C member 1,0
LAMC1_HUMAN,P11047,LAMC1,Laminin subunit gamma-1,1,13,10,24,bin_5,Laminin subunit gamma-1,LAMC1,1,2620,1660,1032,LAMC1,HGNC:6492,laminin subunit gamma 1,9,mitogen-activated protein kinase 1,0
IFT88_HUMAN,Q13099,IFT88,Intraflagellar transport protein 88 homolog,1,10,13,24,bin_5,Intraflagellar transport protein 88 homolog,IFT88,1,2605,1667,443,IFT88,HGNC:20606,intraflagellar transport 88,9,angiotensin converting enzyme 2,0
CLD4_HUMAN,O14493,CLDN4,Claudin-4 ,4,12,9,25,bin_5,Claudin-4,CLDN4,1,2743,1597,5229,CLDN4,HGNC:2046,claudin 4,9,cytochrome P450 family 2 subfamily C member 9,0
MP2K2_HUMAN,P36507,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2,11,22,14,47,bin_5,Dual specificity mitogen-activated protein kinase kinase 2,MAP2K2,1,2654,1640,291,MAP2K2,HGNC:6842,mitogen-activated protein kinase kinase 2,9,mitogen-activated protein kinase 1,0
DYN1_HUMAN,Q05193,DNM1,Dynamin-1 ,10,11,15,36,bin_5,Dynamin-1,DNM1,1,2699,1614,4565,DNM1,HGNC:2972,dynamin 1,9,epidermal growth factor receptor,0
CP26B_HUMAN,Q9NR63,CYP26B1,Cytochrome P450 26B1,7,24,2,33,bin_5,Cytochrome P450 26B1,CYP26B1,1,2577,1683,124,CYP26B1,HGNC:20581,cytochrome P450 family 26 subfamily B member 1,9,angiotensin converting enzyme 2,0
FRS2_HUMAN,Q8WU20,FRS2,Fibroblast growth factor receptor substrate 2,4,18,7,29,bin_5,Fibroblast growth factor receptor substrate 2,FRS2,1,2403,1770,91281,FRS2,HGNC:16971,fibroblast growth factor receptor substrate 2,9,prostaglandin-endoperoxide synthase 2,0
TIE1_HUMAN,P35590,TIE1,Tyrosine-protein kinase receptor Tie-1,2,16,2,20,bin_5,Tyrosine-protein kinase receptor Tie-1,TIE1,1,2617,1661,1117,TIE1,HGNC:11809,tyrosine kinase with immunoglobulin like and EGF like domains 1,9,ret proto-oncogene,0
KKKQEEEVST,Q9NXN3,MLX,Max-like protein X,10,5,6,21,bin_5,Max-like protein X,MLX,1,2494,1726,392,MLX,HGNC:11645,MAX dimerization protein MLX,9,prostaglandin-endoperoxide synthase 2,0
LLQSEENKNL,O95453,PARN,Poly(A)-specific ribonuclease PARN,9,12,7,28,bin_5,Poly(A)-specific ribonuclease PARN,PARN,1,2626,1652,945,PARN,HGNC:8609,poly(A)-specific ribonuclease,9,mitogen-activated protein kinase 1,0
TRIB3_HUMAN,Q96RU7,TRIB3,Tribbles homolog 3,7,14,4,25,bin_5,Tribbles homolog 3,TRIB3,1,2747,1594,2045,TRIB3,HGNC:16228,tribbles pseudokinase 3,9,prostaglandin-endoperoxide synthase 2,0
ITPR1_HUMAN,Q14643,ITPR1,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1 ",10,21,16,47,bin_5,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1",ITPR1,1,2738,1603,1,ITPR1,HGNC:6180,"inositol 1,4,5-trisphosphate receptor type 1",9,interleukin 6,0
CHD8_HUMAN,Q96F26,CHD8,Chromodomain-helicase-DNA-binding protein 8 ,10,15,5,30,bin_5,Chromodomain-helicase-DNA-binding protein 8,CHD8,1,2499,1725,3070,CHD8,HGNC:20153,chromodomain helicase DNA binding protein 8,9,prostaglandin-endoperoxide synthase 2,0
QDLQGEVEYY,O75445,USH2A,Usherin,3,10,13,26,bin_5,Usherin,USH2A,1,2501,1722,569,USH2A,HGNC:12601,usherin,9,ret proto-oncogene,0
PPA5_HUMAN,P13686,ACP5,Tartrate-resistant acid phosphatase type 5,3,15,3,21,bin_5,Tartrate-resistant acid phosphatase type 5,ACP5,1,2462,1741,12979,ACP5,HGNC:124,"acid phosphatase 5, tartrate resistant",9,adenosine deaminase,0
ANXA5_HUMAN,P08758,ANXA5,Annexin A5,5,5,11,21,bin_5,Annexin A5,ANXA5,1,2501,1723,5690,ANXA5,HGNC:543,annexin A5,9,albumin,0
CLC7A_HUMAN,Q96PA4,CLEC7A,C-type lectin domain family 7 member A,6,48,4,58,bin_5,C-type lectin domain family 7 member A,CLEC7A,1,2601,1670,10140,CLEC7A,HGNC:14558,C-type lectin domain containing 7A,9,sodium channel protein type 5 subunit alpha,0
IRAK2_HUMAN,O43187,IRAK2,Interleukin-1 receptor-associated kinase-like 2,6,14,5,25,bin_5,Interleukin-1 receptor-associated kinase-like 2,IRAK2,1,2717,1609,329,IRAK2,HGNC:6113,interleukin 1 receptor associated kinase 2,9,interleukin 6,0
NECD_HUMAN,Q99608,NDN,Necdin,3,14,7,24,bin_5,Necdin,NDN,1,2459,1744,1399,NDN,HGNC:7675,"necdin, MAGE family member",9,mitogen-activated protein kinase 1,0
WNT6_HUMAN,Q9Y6F9,WNT6,Protein Wnt-6,2,13,9,24,bin_5,Protein Wnt-6,WNT6,1,2625,1653,240,WNT6,HGNC:12785,Wnt family member 6,9,ret proto-oncogene,0
MOT1_HUMAN,P53985,SLC16A1,Monocarboxylate transporter 1 ,8,15,11,34,bin_5,Monocarboxylate transporter 1,SLC16A1,1,2616,1663,13066,SLC16A1,HGNC:10922,solute carrier family 16 member 1,9,ret proto-oncogene,0
ZIC1_HUMAN,Q15915,ZIC1,Zinc finger protein ZIC 1,6,15,3,24,bin_5,Zinc finger protein ZIC 1,ZIC1,1,2666,1630,1143,ZIC1,HGNC:12872,Zic family zinc finger 1,9,ret proto-oncogene,0
BHE40_HUMAN,O14503,BHLHE40,Class E basic helix-loop-helix protein 40,12,11,4,27,bin_5,Class E basic helix-loop-helix protein 40,BHLHE40,1,2455,1748,0,BHLHE40,HGNC:1046,basic helix-loop-helix family member e40,9,CYP1A1,0
GBRA1_HUMAN,P14867,GABRA1,Gamma-aminobutyric acid receptor subunit alpha-1,3,5,12,20,bin_5,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1,1,2449,1752,4585,GABRA1,HGNC:4075,gamma-aminobutyric acid type A receptor subunit alpha1,9,fibroblast growth factor receptor 1,0
ZP3_HUMAN,P21754,ZP3,Processed zona pellucida sperm-binding protein 3,6,20,5,31,bin_5,Processed zona pellucida sperm-binding protein 3,ZP3,1,2624,1654,129,ZP3,HGNC:13189,zona pellucida glycoprotein 3,9,ret proto-oncogene,0
PLPL2_HUMAN,Q96AD5,PNPLA2,Patatin-like phospholipase domain-containing protein 2 ,7,10,8,25,bin_5,Patatin-like phospholipase domain-containing protein 2,PNPLA2,1,2254,1848,3362,PNPLA2,HGNC:30802,"patatin like domain 2, triacylglycerol lipase",10,serine/threonine kinase 40,0
PROF1_HUMAN,P07737,PFN1,Profilin-1,9,16,10,35,bin_5,Profilin-1,PFN1,1,2136,1909,4018,PFN1,HGNC:8881,profilin 1,10,prostaglandin-endoperoxide synthase 2,0
BIRC2_HUMAN,Q13490,BIRC2,Baculoviral IAP repeat-containing protein 2,11,33,6,50,bin_5,Baculoviral IAP repeat-containing protein 2,BIRC2,1,2191,1879,580983,BIRC2,HGNC:590,baculoviral IAP repeat containing 2,10,albumin,0
LPPRC_HUMAN,P42704,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial",6,6,13,25,bin_5,"Leucine-rich PPR motif-containing protein, mitochondrial",LRPPRC,1,2062,1953,187,LRPPRC,HGNC:15714,leucine rich pentatricopeptide repeat containing,10,prostaglandin-endoperoxide synthase 2,0
CAD23_HUMAN,Q96JL3,CDH23,Cadherin-23 ,3,15,9,27,bin_5,Cadherin-23,CDH23,1,2267,1839,1366,CDH23,HGNC:13733,cadherin related 23,10,prostaglandin-endoperoxide synthase 2,0
SOX8_HUMAN,P57073,SOX8,Transcription factor SOX-8,5,37,4,46,bin_5,Transcription factor SOX-8,SOX8,1,2235,1858,86,SOX8,HGNC:11203,SRY-box transcription factor 8,10,prostaglandin-endoperoxide synthase 2,0
KCNQ3_HUMAN,O43525,KCNQ3,Potassium voltage-gated channel subfamily KQT member 3 ,2,26,7,35,bin_5,Potassium voltage-gated channel subfamily KQT member 3,KCNQ3,1,2222,1865,450,KCNQ3,HGNC:6297,potassium voltage-gated channel subfamily Q member 3,10,kinesin family member 5B,0
RS5_HUMAN,P46782,RPS5,"Small ribosomal subunit protein uS7, N-terminally processed",4,6,13,23,bin_5,"Small ribosomal subunit protein uS7, N-terminally processed",RPS5,1,2360,1795,12,RPS5,HGNC:10426,ribosomal protein S5,10,prostaglandin-endoperoxide synthase 2,0
CY24A_HUMAN,P13498,CYBA,Cytochrome b-245 light chain,6,18,9,33,bin_5,Cytochrome b-245 light chain,CYBA,1,2267,1838,662,CYBA,HGNC:2577,cytochrome b-245 alpha chain,10,epidermal growth factor receptor,0
SCF_HUMAN,P21583,KITLG,Soluble KIT ligand,3,27,7,37,bin_5,KITLG,KITLG,1,2321,1812,254132,KITLG,HGNC:6343,KIT ligand,10,interleukin 6,0
GFRA1_HUMAN,P56159,GFRA1,GDNF family receptor alpha-1,5,8,10,23,bin_5,GDNF family receptor alpha-1,GFRA1,1,2188,1881,9548,GFRA1,HGNC:4243,GDNF family receptor alpha 1,10,fibroblast growth factor receptor 2,0
HXD13_HUMAN,P35453,HOXD13,Homeobox protein Hox-D13,7,15,2,24,bin_5,Homeobox protein Hox-D13,HOXD13,1,2038,1968,51,HOXD13,HGNC:5136,homeobox D13,10,interleukin 2,0
HDGF_HUMAN,P51858,HDGF,Hepatoma-derived growth factor,10,6,7,23,bin_5,Hepatoma-derived growth factor,HDGF,1,2234,1859,1503,HDGF,HGNC:4856,heparin binding growth factor,10,interleukin 6,0
RNF4_HUMAN,P78317,RNF4,E3 ubiquitin-protein ligase RNF4 ,8,12,6,26,bin_5,E3 ubiquitin-protein ligase RNF4,RNF4,1,2114,1924,1504,RNF4,HGNC:10067,ring finger protein 4,10,prostaglandin-endoperoxide synthase 2,0
DKC1_HUMAN,O60832,DKC1,H/ACA ribonucleoprotein complex subunit DKC1,5,16,9,30,bin_5,H/ACA ribonucleoprotein complex subunit DKC1,DKC1,1,2252,1850,356,DKC1,HGNC:2890,dyskerin pseudouridine synthase 1,10,epidermal growth factor receptor,0
YES_HUMAN,P07947,YES1,Tyrosine-protein kinase Yes,7,16,7,30,bin_5,Tyrosine-protein kinase Yes,YES1,1,2362,1792,28868,YES1,HGNC:12841,"YES proto-oncogene 1, Src family tyrosine kinase",10,ret proto-oncogene,0
BLNK_HUMAN,Q8WV28,BLNK,B-cell linker protein,9,7,5,21,bin_5,B-cell linker protein,BLNK,1,2347,1801,576,BLNK,HGNC:14211,B cell linker,10,prostaglandin-endoperoxide synthase 2,0
SEM4D_HUMAN,Q92854,SEMA4D,Semaphorin-4D,7,25,3,35,bin_5,Semaphorin-4D,SEMA4D,1,2114,1923,1650,SEMA4D,HGNC:10732,semaphorin 4D,10,prostaglandin-endoperoxide synthase 2,0
PTK7_HUMAN,Q8NFA7,PTK7,Inactive tyrosine-protein kinase 7,4,20,5,29,bin_5,Inactive tyrosine-protein kinase 7,PTK7,1,2115,1920,69518,PTK7,HGNC:9618,protein tyrosine kinase 7 (inactive),10,prostaglandin-endoperoxide synthase 2,0
CBLB_HUMAN,Q13191,CBLB,E3 ubiquitin-protein ligase CBL-B,6,15,4,25,bin_5,E3 ubiquitin-protein ligase CBL-B,CBLB,1,2088,1939,1877,CBLB,HGNC:1542,Cbl proto-oncogene B,10,cytochrome b-245 beta chain,0
NEK7_HUMAN,Q8TDX7,NEK7,Serine/threonine-protein kinase Nek7 ,5,8,7,20,bin_5,Serine/threonine-protein kinase Nek7,NEK7,1,2115,1921,194,NEK7,HGNC:13386,NIMA related kinase 7,10,prostaglandin-endoperoxide synthase 2,0
CP2J2_HUMAN,P51589,CYP2J2,Cytochrome P450 2J2,11,7,4,22,bin_5,Cytochrome P450 2J2,CYP2J2,1,2221,1868,883,CYP2J2,HGNC:2634,cytochrome P450 family 2 subfamily J member 2,10,epidermal growth factor receptor,0
ISG20_HUMAN,Q96AZ6,ISG20,Interferon-stimulated gene 20 kDa protein,8,7,7,22,bin_5,Interferon-stimulated gene 20 kDa protein,ISG20,1,2336,1807,4375,ISG20,HGNC:6130,interferon stimulated exonuclease gene 20,10,interleukin 6,0
HXA7_HUMAN,P31268,HOXA7,Homeobox protein Hox-A7,6,12,4,22,bin_5,Homeobox protein Hox-A7,HOXA7,1,2084,1942,42,HOXA7,HGNC:5108,homeobox A7,10,interleukin 6,0
PDIA1_HUMAN,P07237,P4HB,Protein disulfide-isomerase,9,14,14,37,bin_5,protein disulfide-isomerase,P4HB,1,2250,1851,24227,P4HB,HGNC:8548,prolyl 4-hydroxylase subunit beta,10,prostaglandin-endoperoxide synthase 2,0
GPER1_HUMAN,Q99527,GPER1,G-protein coupled estrogen receptor 1 ,6,53,29,88,bin_5,G-protein coupled estrogen receptor 1,GPER1,1,2229,1861,22554,GPER1,HGNC:4485,G protein-coupled estrogen receptor 1,10,forkhead box P1,0
DNJB1_HUMAN,P25685,DNAJB1,DnaJ homolog subfamily B member 1,9,8,11,28,bin_5,DnaJ homolog subfamily B member 1,DNAJB1,1,2285,1828,2414,DNAJB1,HGNC:5270,DnaJ heat shock protein family (Hsp40) member B1,10,interleukin 6,0
SIAH2_HUMAN,O43255,SIAH2,E3 ubiquitin-protein ligase SIAH2,5,14,6,25,bin_5,E3 ubiquitin-protein ligase SIAH2,SIAH2,1,2076,1946,1150,SIAH2,HGNC:10858,siah E3 ubiquitin protein ligase 2,10,prostaglandin-endoperoxide synthase 2,0
LRAT_HUMAN,O95237,LRAT,Lecithin retinol acyltransferase ,6,9,5,20,bin_5,Lecithin retinol acyltransferase,LRAT,1,2064,1950,1351,LRAT,HGNC:6685,lecithin retinol acyltransferase,10,interleukin 6,0
TBA1A_HUMAN,Q71U36,TUBA1A,Detyrosinated tubulin alpha-1A chain,8,33,12,53,bin_5,Detyrosinated tubulin alpha-1A chain,TUBA1A,1,2249,1852,16,TUBA1A,HGNC:20766,tubulin alpha 1a,10,forkhead box P3,0
CALX_HUMAN,P27824,CANX,Calnexin,4,7,12,23,bin_5,Calnexin,CANX,1,1905,2046,18049,CANX,HGNC:1473,calnexin,11,catenin beta 1,0
SARM1_HUMAN,Q6SZW1,SARM1,NAD(+) hydrolase SARM1 ,5,12,10,27,bin_5,NAD(+) hydrolase SARM1,SARM1,1,1807,2107,322,SARM1,HGNC:17074,sterile alpha and TIR motif containing 1,11,serine palmitoyltransferase long chain base subunit 1,0
RING2_HUMAN,Q99496,RNF2,E3 ubiquitin-protein ligase RING2,5,10,10,25,bin_5,E3 ubiquitin-protein ligase RING2,RNF2,1,1861,2077,725,RNF2,HGNC:10061,ring finger protein 2,11,prostaglandin-endoperoxide synthase 2,0
PFKAM_HUMAN,P08237,PFKM,"ATP-dependent 6-phosphofructokinase, muscle type ",9,11,6,26,bin_5,"ATP-dependent 6-phosphofructokinase, muscle type",PFKM,1,1744,2151,216,PFKM,HGNC:8877,"phosphofructokinase, muscle",11,prostaglandin-endoperoxide synthase 2,0
NGN3_HUMAN,Q9Y4Z2,NEUROG3,Neurogenin-3,7,15,2,24,bin_5,Neurogenin-3,NEUROG3,1,1917,2037,2102,NEUROG3,HGNC:13806,neurogenin 3,11,prostaglandin-endoperoxide synthase 2,0
FUT8_HUMAN,Q9BYC5,FUT8,"Alpha-(1,6)-fucosyltransferase",3,16,5,24,bin_5,"Alpha-(1,6)-fucosyltransferase",FUT8,1,1889,2056,6756,FUT8,HGNC:4019,fucosyltransferase 8,11,epidermal growth factor receptor,0
RS9_HUMAN,P46781,RPS9,Small ribosomal subunit protein uS4 ,4,4,14,22,bin_5,Small ribosomal subunit protein uS4,RPS9,1,1880,2063,175,RPS9,HGNC:10442,ribosomal protein S9,11,prostaglandin-endoperoxide synthase 2,0
DYN2_HUMAN,P50570,DNM2,Dynamin-2 ,6,25,25,56,bin_5,Dynamin-2,DNM2,1,1995,1993,28647,DNM2,HGNC:2974,dynamin 2,11,epidermal growth factor receptor,0
SSXT_HUMAN,Q15532,SS18,Protein SSXT,2,12,6,20,bin_5,protein,SS18,1,1918,2036,65,SS18,HGNC:11340,SS18 subunit of BAF chromatin remodeling complex,11,prostaglandin-endoperoxide synthase 2,0
UBP2_HUMAN,O75604,USP2,Ubiquitin carboxyl-terminal hydrolase 2,6,11,5,22,bin_5,Ubiquitin carboxyl-terminal hydrolase 2,USP2,1,1964,2010,7356,USP2,HGNC:12618,ubiquitin specific peptidase 2,11,ret proto-oncogene,0
RBBP4_HUMAN,Q09028,RBBP4,Histone-binding protein RBBP4,3,16,13,32,bin_5,Histone-binding protein RBBP4,RBBP4,1,1860,2079,354,RBBP4,HGNC:9887,"RB binding protein 4, chromatin remodeling factor",11,prostaglandin-endoperoxide synthase 2,0
NLS1_HUMAN,Q8NA29,MFSD2A,Sodium-dependent lysophosphatidylcholine symporter 1 ,6,31,3,40,bin_5,Sodium-dependent lysophosphatidylcholine symporter 1,MFSD2A,1,1718,2166,90,MFSD2A,HGNC:25897,"MFSD2 lysolipid transporter A, lysophospholipid",11,forkhead box P3,0
KCNA1_HUMAN,Q09470,KCNA1,Potassium voltage-gated channel subfamily A member 1 ,5,22,22,49,bin_5,Potassium voltage-gated channel subfamily A member 1,KCNA1,1,1888,2057,0,KCNA1,HGNC:6218,potassium voltage-gated channel subfamily A member 1,11,interleukin 6,0
BBS1_HUMAN,Q8NFJ9,BBS1,Bardet-Biedl syndrome 1 protein,4,25,7,36,bin_5,Bardet-Biedl syndrome 1 protein,BBS1,1,1786,2122,288,BBS1,HGNC:966,Bardet-Biedl syndrome 1,11,cyclin dependent kinase inhibitor 1A,0
MKKS_HUMAN,Q9NPJ1,MKKS,Molecular chaperone MKKS ,3,35,6,44,bin_5,Molecular chaperone MKKS,MKKS,1,1898,2048,269,MKKS,HGNC:7108,MKKS centrosomal shuttling protein,11,mitogen-activated protein kinase 1,0
FZD2_HUMAN,Q14332,FZD2,Frizzled-2,4,17,4,25,bin_5,Frizzled-2,FZD2,1,1999,1990,1188,FZD2,HGNC:4040,frizzled class receptor 2,11,fibroblast growth factor receptor 1,0
MRP5_HUMAN,Q9UQC3,ABCC5,ATP-binding cassette sub-family C member 5,13,13,6,32,bin_5,ATP-binding cassette sub-family C member 5,ABCC5,1,1985,1999,4482,ABCC5,HGNC:56,ATP binding cassette subfamily C member 5,11,adenosine deaminase,0
ZFHX3_HUMAN,Q15911,ZFHX3,Zinc finger homeobox protein 3,7,13,6,26,bin_5,Zinc finger homeobox protein 3,ZFHX3,1,1790,2121,30357,ZFHX3,HGNC:777,zinc finger homeobox 3,11,cyclin dependent kinase inhibitor 1A,0
KAT5_HUMAN,Q92993,KAT5,Histone acetyltransferase KAT5 ,15,43,16,74,bin_5,Histone acetyltransferase KAT5,KAT5,1,1791,2118,1143,KAT5,HGNC:5275,lysine acetyltransferase 5,11,interleukin 6,0
FOXK1_HUMAN,P85037,FOXK1,Forkhead box protein K1 ,7,10,4,21,bin_5,Forkhead box protein K1,FOXK1,1,1765,2137,925,FOXK1,HGNC:23480,forkhead box K1,11,serine/threonine kinase 40,0
RAMP1_HUMAN,O60894,RAMP1,Receptor activity-modifying protein 1,4,13,4,21,bin_5,Receptor activity-modifying protein 1,RAMP1,1,1791,2119,985,RAMP1,HGNC:9843,receptor activity modifying protein 1,11,prostaglandin-endoperoxide synthase 2,0
LDB1_HUMAN,Q86U70,LDB1,LIM domain-binding protein 1,8,23,7,38,bin_5,LIM domain-binding protein 1,LDB1,1,1877,2066,2197,LDB1,HGNC:6532,LIM domain binding 1,11,interleukin 6,0
KDM2B_HUMAN,Q8NHM5,KDM2B,Lysine-specific demethylase 2B,9,17,5,31,bin_5,Lysine-specific demethylase 2B,KDM2B,1,1978,2005,878,KDM2B,HGNC:13610,lysine demethylase 2B,11,ret proto-oncogene,0
DDX17_HUMAN,Q92841,DDX17,Probable ATP-dependent RNA helicase DDX17,8,15,8,31,bin_5,Probable ATP-dependent RNA helicase DDX17,DDX17,1,1761,2140,157,DDX17,HGNC:2740,DEAD-box helicase 17,11,epidermal growth factor receptor,0
RILP_HUMAN,Q96NA2,RILP,Rab-interacting lysosomal protein,3,9,8,20,bin_5,Rab-interacting lysosomal protein,RILP,1,1896,2049,733,RILP,HGNC:30266,Rab interacting lysosomal protein,11,"serine peptidase inhibitor, Kazal type 5",0
EIF3A_HUMAN,Q14152,EIF3A,Eukaryotic translation initiation factor 3 subunit A ,5,6,13,24,bin_5,Eukaryotic translation initiation factor 3 subunit A,EIF3A,1,1887,2059,8721,EIF3A,HGNC:3271,eukaryotic translation initiation factor 3 subunit A,11,epidermal growth factor receptor,0
K1C10_HUMAN,P13645,KRT10,"Keratin, type I cytoskeletal 10",2,7,11,20,bin_5,"Keratin, type I cytoskeletal 10",KRT10,1,1937,2026,1544,KRT10,HGNC:6413,keratin 10,11,kinesin family member 5B,0
TP53B_HUMAN,Q12888,TP53BP1,TP53-binding protein 1 ,9,12,9,30,bin_5,TP53-binding protein 1,TP53BP1,1,1757,2144,485,TP53BP1,HGNC:11999,tumor protein p53 binding protein 1,11,ret proto-oncogene,0
