ID,AC,GN,protein_name,GO_F Count,GO_P Count,GO_C Count,all_go_counts,bin,normalized_protein,normalized_gene_name,MATCH,PMC_ID,Rank,PMC_PROTEIN,HGNC_symbol,HGNC_id,HGNC_name,Bin,predicted_hgnc_term,term_match_result
FFAR2_HUMAN,O15552,FFAR2,Free fatty acid receptor 2,2,18,2,22,bin_5,Free fatty acid receptor 2,FFAR2,1,3212,1422,236694,FFAR2,HGNC:4501,free fatty acid receptor 2,8,solute carrier family 25 member 18,0
SFRP4_HUMAN,Q6FHJ7,SFRP4,Secreted frizzled-related protein 4,1,19,4,24,bin_5,Secreted frizzled-related protein 4,SFRP4,1,2878,1545,1235,SFRP4,HGNC:10778,secreted frizzled related protein 4,8,solute carrier family 25 member 18,0
TR11B_HUMAN,O00300,TNFRSF11B,Tumor necrosis factor receptor superfamily member 11B,3,13,5,21,bin_5,Tumor necrosis factor receptor superfamily member 11B,TNFRSF11B,1,3150,1447,1202,TNFRSF11B,HGNC:11909,TNF receptor superfamily member 11b,8,solute carrier family 25 member 18,0
PLCG2_HUMAN,GAEYDNNKFK,PLCG2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2 ",7,54,8,69,bin_5,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",PLCG2,1,2911,1534,190,PLCG2,HGNC:9066,phospholipase C gamma 2,8,solute carrier family 25 member 18,0
RL23_HUMAN,P62829,RPL23,Large ribosomal subunit protein uL14 ,6,14,12,32,bin_5,Large ribosomal subunit protein uL14,RPL23,1,2867,1549,149,RPL23,HGNC:10316,ribosomal protein L23,8,solute carrier family 25 member 18,0
MEFV_HUMAN,O15553,MEFV,Pyrin ,4,19,11,34,bin_5,Pyrin,MEFV,1,3017,1500,25430,MEFV,HGNC:6998,"MEFV innate immunity regulator, pyrin",8,solute carrier family 25 member 18,0
FOXJ1_HUMAN,Q92949,FOXJ1,Forkhead box protein J1 ,6,33,2,41,bin_5,Forkhead box protein J1,FOXJ1,1,3217,1417,583,FOXJ1,HGNC:3816,forkhead box J1,8,solute carrier family 25 member 18,0
WWOX_HUMAN,Q9NRF6,WWOX,WW domain-containing oxidoreductase,4,10,7,21,bin_5,WW domain-containing oxidoreductase,WWOX,1,3123,1453,1440,WWOX,HGNC:12799,WW domain containing oxidoreductase,8,solute carrier family 25 member 18,0
PK3CB_HUMAN,P42338,PIK3CB,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",7,34,10,51,bin_5,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",PIK3CB,1,3008,1502,14823,PIK3CB,HGNC:8976,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",8,solute carrier family 25 member 18,0
CTBP1_HUMAN,Q13363,CTBP1,C-terminal-binding protein 1,11,10,6,27,bin_5,C-terminal-binding protein 1,CTBP1,1,2998,1504,3365,CTBP1,HGNC:2494,C-terminal binding protein 1,8,apolipoprotein E,0
FABPL_HUMAN,P07148,FABP1,"Fatty acid-binding protein, liver",8,8,7,23,bin_5,"Fatty acid-binding protein, liver",FABP1,1,3198,1429,178382,FABP1,HGNC:3555,fatty acid binding protein 1,8,apolipoprotein E,0
RNF8_HUMAN,O76064,RNF8,E3 ubiquitin-protein ligase RNF8 ,8,19,7,34,bin_5,E3 ubiquitin-protein ligase RNF8,RNF8,1,3274,1406,2070,RNF8,HGNC:10071,ring finger protein 8,8,solute carrier family 25 member 18,0
FRDA_HUMAN,Q16595,FXN,Extramitochondrial frataxin ,5,28,6,39,bin_5,frataxin,FXN,1,2534,1704,214,FXN,HGNC:3951,frataxin,9,solute carrier family 25 member 18,0
LIPC_HUMAN,P11150,LIPC,Hepatic triacylglycerol lipase,11,12,4,27,bin_5,Hepatic triacylglycerol lipase,LIPC,1,2528,1709,41508,LIPC,HGNC:6619,"lipase C, hepatic type",9,solute carrier family 25 member 18,0
EFNB1_HUMAN,P98172,EFNB1,Ephrin-B1 intracellular domain ,1,10,9,20,bin_5,Ephrin-B1 intracellular domain,EFNB1,1,2622,1658,2062,EFNB1,HGNC:3226,ephrin B1,9,apolipoprotein A1,0
MBD1_HUMAN,CSTCLLQLPH,MBD1,Methyl-CpG-binding domain protein 1 ,6,11,6,23,bin_5,Methyl-CpG-binding domain protein 1,MBD1,1,2580,1680,22891,MBD1,HGNC:6916,methyl-CpG binding domain protein 1,9,solute carrier family 25 member 18,0
MP2K4_HUMAN,P45985,MAP2K4,Dual specificity mitogen-activated protein kinase kinase 4,7,17,5,29,bin_5,Dual specificity mitogen-activated protein kinase kinase 4,MAP2K4,1,2740,1600,668,MAP2K4,HGNC:6844,mitogen-activated protein kinase kinase 4,9,solute carrier family 25 member 18,0
PDPK1_HUMAN,O15530,PDPK1,3-phosphoinositide-dependent protein kinase 1,6,32,8,46,bin_5,3-phosphoinositide-dependent protein kinase 1,PDPK1,1,2527,1710,5569,PDPK1,HGNC:8816,3-phosphoinositide dependent protein kinase 1,9,solute carrier family 25 member 18,0
EPHB1_HUMAN,P54762,EPHB1,Ephrin type-B receptor 1,4,25,11,40,bin_5,Ephrin type-B receptor 1,EPHB1,1,2390,1778,1340,EPHB1,HGNC:3392,EPH receptor B1,9,apolipoprotein E,0
ITA3_HUMAN,P26006,ITGA3,Integrin alpha-3 light chain,8,30,19,57,bin_5,Integrin alpha-3 light chain,ITGA3,1,2752,1590,1759,ITGA3,HGNC:6139,integrin subunit alpha 3,9,solute carrier family 25 member 18,0
LYRIC_HUMAN,Q86UE4,MTDH,Protein LYRIC,6,9,11,26,bin_5,protein,MTDH,1,2440,1756,1595,MTDH,HGNC:29608,metadherin,9,solute carrier family 25 member 18,0
CAC1D_HUMAN,Q01668,CACNA1D,Voltage-dependent L-type calcium channel subunit alpha-1D,7,15,4,26,bin_5,Voltage-dependent L-type calcium channel subunit alpha-1D,CACNA1D,1,2433,1760,370,CACNA1D,HGNC:1391,calcium voltage-gated channel subunit alpha1 D,9,apolipoprotein E,0
RAGP1_HUMAN,P46060,RANGAP1,Ran GTPase-activating protein 1,5,8,17,30,bin_5,Ran GTPase-activating protein 1,RANGAP1,1,2561,1689,6164,RANGAP1,HGNC:9854,Ran GTPase activating protein 1,9,solute carrier family 25 member 18,0
ACTG_HUMAN,P63261,ACTG1,"Actin, cytoplasmic 2, N-terminally processed",8,17,23,48,bin_5,"Actin, cytoplasmic 2, N-terminally processed",ACTG1,1,2543,1699,3402,ACTG1,HGNC:144,actin gamma 1,9,apolipoprotein E,0
ANK3_HUMAN,Q12955,ANK3,Ankyrin-3 ,7,25,22,54,bin_5,Ankyrin-3,ANK3,1,2457,1746,606,ANK3,HGNC:494,ankyrin 3,9,apolipoprotein E,0
TNNI3_HUMAN,P19429,TNNI3,"Troponin I, cardiac muscle",8,13,3,24,bin_5,"Troponin I, cardiac muscle",TNNI3,1,2740,1601,23156,TNNI3,HGNC:11947,"troponin I3, cardiac type",9,solute carrier family 25 member 18,0
AGO4_HUMAN,Q9HCK5,AGO4,Protein argonaute-4 ,4,13,8,25,bin_5,protein,AGO4,1,2545,1696,531,AGO4,HGNC:18424,argonaute RISC component 4,9,solute carrier family 25 member 18,0
DVPDVNIEGP,Q09666,AHNAK,Neuroblast differentiation-associated protein AHNAK,5,3,15,23,bin_5,Neuroblast differentiation-associated protein AHNAK,AHNAK,1,2478,1735,347,AHNAK,HGNC:347,AHNAK nucleoprotein,9,apolipoprotein E,0
EHD1_HUMAN,Q9H4M9,EHD1,EH domain-containing protein 1 ,6,15,13,34,bin_5,EH domain-containing protein 1,EHD1,1,2396,1776,2821,EHD1,HGNC:3242,EH domain containing 1,9,solute carrier family 25 member 18,0
DILIRYEPQL,P07942,LAMB1,Laminin subunit beta-1,2,12,12,26,bin_5,Laminin subunit beta-1,LAMB1,1,2399,1772,6180,LAMB1,HGNC:6486,laminin subunit beta 1,9,solute carrier family 25 member 18,0
EFNA1_HUMAN,P20827,EFNA1,"Ephrin-A1, secreted form",2,28,3,33,bin_5,EPHA1,EFNA1,1,2693,1620,1522,EFNA1,HGNC:3221,ephrin A1,9,apolipoprotein E,0
LHX1_HUMAN,P48742,LHX1,LIM/homeobox protein Lhx1,6,68,4,78,bin_5,LIM/homeobox protein Lhx1,LHX1,1,2460,1743,21,LHX1,HGNC:6593,LIM homeobox 1,9,solute carrier family 25 member 18,0
THA_HUMAN,P10827,THRA,Thyroid hormone receptor alpha,11,28,4,43,bin_5,Thyroid hormone receptor alpha,THRA,1,2642,1645,61517,THRA,HGNC:11796,thyroid hormone receptor alpha,9,solute carrier family 25 member 18,0
DDX4_HUMAN,Q9NQI0,DDX4,Probable ATP-dependent RNA helicase DDX4,5,10,6,21,bin_5,Probable ATP-dependent RNA helicase DDX4,DDX4,1,2486,1732,41,DDX4,HGNC:18700,DEAD-box helicase 4,9,solute carrier family 25 member 18,0
TRIM5_HUMAN,Q9C034,TRIM5,Tripartite motif-containing protein 5,9,16,4,29,bin_5,Tripartite motif-containing protein 5,TRIM5,1,2455,1747,6997,TRIM5,HGNC:16276,tripartite motif containing 5,9,solute carrier family 25 member 18,0
AOFB_HUMAN,P27338,MAOB,Amine oxidase [flavin-containing] B ,6,13,5,24,bin_5,Amine oxidase [flavin-containing] B,MAOB,1,2544,1698,7365,MAOB,HGNC:6834,monoamine oxidase B,9,solute carrier family 25 member 18,0
C11B2_HUMAN,P19099,CYP11B2,"Cytochrome P450 11B2, mitochondrial",5,15,2,22,bin_5,"Cytochrome P450 11B2, mitochondrial",CYP11B2,1,2699,1615,258,CYP11B2,HGNC:2592,cytochrome P450 family 11 subfamily B member 2,9,apolipoprotein E,0
FGF18_HUMAN,O76093,FGF18,Fibroblast growth factor 18,3,26,4,33,bin_5,Fibroblast growth factor 18,FGF18,1,2632,1651,1006,FGF18,HGNC:3674,fibroblast growth factor 18,9,apolipoprotein E,0
WFS1_HUMAN,O76024,WFS1,Wolframin,6,30,6,42,bin_5,Wolframin,WFS1,1,2543,1700,718,WFS1,HGNC:12762,wolframin ER transmembrane glycoprotein,9,solute carrier family 25 member 18,0
RHG07_HUMAN,HDRAPVVGVR,DLC1,Rho GTPase-activating protein 7,3,20,10,33,bin_5,Rho GTPase-activating protein 7,ARHGAP7,0,2538,1702,3969,DLC1,HGNC:2897,DLC1 Rho GTPase activating protein,9,apolipoprotein E,0
EHMT2_HUMAN,Q96QD0,EHMT2,Histone-lysine N-methyltransferase EHMT2,12,21,4,37,bin_5,Histone-lysine N-methyltransferase EHMT2,EHMT2,1,2671,1627,897,EHMT2,HGNC:14129,euchromatic histone lysine methyltransferase 2,9,solute carrier family 25 member 18,0
DRB3_HUMAN,Q9UIN5,HLA-DRB3,"HLA class II histocompatibility antigen, DR beta 3 chain",3,10,13,26,bin_5,"HLA class II histocompatibility antigen, DR beta 3 chain",HLA-DRB3,1,2731,1604,12946,HLA-DRB3,HGNC:4951,"major histocompatibility complex, class II, DR beta 3",9,solute carrier family 25 member 18,0
BMP5_HUMAN,P22003,BMP5,Bone morphogenetic protein 5,3,32,2,37,bin_5,Bone morphogenetic protein 5,BMP5,1,2141,1902,423,BMP5,HGNC:1072,bone morphogenetic protein 5,10,apolipoprotein E,0
EFNB2_HUMAN,P52799,EFNB2,Ephrin-B2,2,22,7,31,bin_5,Ephrin-B2,EFNB2,1,2137,1907,6396,EFNB2,HGNC:3227,ephrin B2,10,apolipoprotein A1,0
ACTN1_HUMAN,P12814,ACTN1,Alpha-actinin-1,9,9,19,37,bin_5,Alpha-actinin-1,ACTN1,1,2243,1856,1850,ACTN1,HGNC:163,actinin alpha 1,10,apolipoprotein A-I,0
COF1_HUMAN,P23528,CFL1,Cofilin-1,1,14,14,29,bin_5,Cofilin-1,CFL1,1,2192,1878,3415,CFL1,HGNC:1874,cofilin 1,10,apolipoprotein E,0
ITA1_HUMAN,P56199,ITGA1,Integrin alpha-1,5,13,11,29,bin_5,Integrin alpha-1,ITGA1,1,2355,1798,15772,ITGA1,HGNC:6134,integrin subunit alpha 1,10,solute carrier family 25 member 18,0
WNT16_HUMAN,Q9UBV4,WNT16,Protein Wnt-16,2,15,3,20,bin_5,Protein Wnt-16,WNT16,1,2137,1908,269,WNT16,HGNC:16267,Wnt family member 16,10,solute carrier family 25 member 18,0
FLCN_HUMAN,Q8NFG4,FLCN,Folliculin ,4,36,10,50,bin_5,Folliculin,FLCN,1,2023,1976,1805,FLCN,HGNC:27310,folliculin,10,solute carrier family 25 member 18,0
TRBM_HUMAN,P07204,THBD,Thrombomodulin,3,11,7,21,bin_5,Thrombomodulin,THBD,1,2370,1788,13930,THBD,HGNC:11784,thrombomodulin,10,solute carrier family 25 member 18,0
LPIN1_HUMAN,F5GY24,LPIN1,Phosphatidate phosphatase LPIN1 ,2,13,9,24,bin_5,Phosphatidate phosphatase LPIN1,LPIN1,1,2061,1954,454,LPIN1,HGNC:13345,lipin 1,10,solute carrier family 25 member 18,0
CASP6_HUMAN,P55212,CASP6,Caspase-6 subunit p11 ,5,13,4,22,bin_5,Caspase-6 subunit p11,CASP6,1,2054,1958,35,CASP6,HGNC:1507,caspase 6,10,apolipoprotein E,0
PKP2_HUMAN,Q99959,PKP2,Plakophilin-2 ,8,19,13,40,bin_5,Plakophilin-2,PKP2,1,2178,1887,2214,PKP2,HGNC:9024,plakophilin 2,10,solute carrier family 25 member 18,0
NCOA2_HUMAN,Q15596,NCOA2,Nuclear receptor coactivator 2,9,16,6,31,bin_5,Nuclear receptor coactivator 2,NCOA2,1,2149,1897,626,NCOA2,HGNC:7669,nuclear receptor coactivator 2,10,solute carrier family 25 member 18,0
DVL1_HUMAN,O14640,DVL1,Segment polarity protein dishevelled homolog DVL-1,6,40,16,62,bin_5,Segment polarity protein dishevelled homolog DVL-1,DVL1,1,2078,1944,67,DVL1,HGNC:3084,dishevelled segment polarity protein 1,10,apolipoprotein E,0
SORT_HUMAN,Q99523,SORT1,Sortilin ,5,20,18,43,bin_5,Sortilin,SORT1,1,2352,1799,5704,SORT1,HGNC:11186,sortilin 1,10,solute carrier family 25 member 18,0
PRDX3_HUMAN,P30048,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial",5,16,9,30,bin_5,"Thioredoxin-dependent peroxide reductase, mitochondrial",PRDX3,1,2155,1894,19609,PRDX3,HGNC:9354,peroxiredoxin 3,10,solute carrier family 25 member 18,0
TRI32_HUMAN,Q13049,TRIM32,E3 ubiquitin-protein ligase TRIM32 ,11,40,8,59,bin_5,E3 ubiquitin-protein ligase TRIM32,TRIM32,1,2102,1933,1232,TRIM32,HGNC:16380,tripartite motif containing 32,10,solute carrier family 25 member 18,0
AAKG2_HUMAN,Q9UGJ0,PRKAG2,5'-AMP-activated protein kinase subunit gamma-2,10,13,6,29,bin_5,5'-AMP-activated protein kinase subunit gamma-2,PRKAG2,1,2024,1974,595,PRKAG2,HGNC:9386,protein kinase AMP-activated non-catalytic subunit gamma 2,10,solute carrier family 25 member 18,0
SPRE1_HUMAN,Q7Z699,SPRED1,"Sprouty-related, EVH1 domain-containing protein 1",4,13,4,21,bin_5,"Sprouty-related, EVH1 domain-containing protein 1",SPRED1,1,2034,1970,495,SPRED1,HGNC:20249,sprouty related EVH1 domain containing 1,10,solute carrier family 25 member 18,0
IF4G1_HUMAN,Q6ZN21,EIF4G1,Eukaryotic translation initiation factor 4 gamma 1,8,26,7,41,bin_5,Eukaryotic translation initiation factor 4 gamma 1,EIF4G1,1,2313,1818,2743,EIF4G1,HGNC:3296,eukaryotic translation initiation factor 4 gamma 1,10,apolipoprotein E,0
EST1_HUMAN,Q9ULY2,CES1,Liver carboxylesterase 1 ,4,16,5,25,bin_5,Liver carboxylesterase 1,CES1,1,2084,1941,4756,CES1,HGNC:1863,carboxylesterase 1,10,apolipoprotein A1,0
PCM1_HUMAN,Q9H4A2,PCM1,Pericentriolar material 1 protein ,2,16,13,31,bin_5,Pericentriolar material 1 protein,PCM1,1,2259,1843,34951,PCM1,HGNC:8727,pericentriolar material 1,10,solute carrier family 25 member 18,0
NKG2D_HUMAN,P26718,KLRK1,NKG2-D type II integral membrane protein,5,15,4,24,bin_5,NKG2-D type II integral membrane protein,KLRK1,1,2104,1930,66,KLRK1,HGNC:18788,killer cell lectin like receptor K1,10,solute carrier family 25 member 18,0
MESP1_HUMAN,Q9BRJ9,MESP1,Mesoderm posterior protein 1,6,35,2,43,bin_5,Mesoderm posterior protein 1,MESP1,1,2078,1945,17009,MESP1,HGNC:29658,mesoderm posterior bHLH transcription factor 1,10,solute carrier family 25 member 18,0
RGN_HUMAN,Q15493,RGN,Regucalcin,4,20,2,26,bin_5,Regucalcin,RGN,1,2151,1896,758,RGN,HGNC:9989,regucalcin,10,solute carrier family 25 member 18,0
SMC5_HUMAN,Q8IY18,SMC5,Structural maintenance of chromosomes protein 5,4,16,12,32,bin_5,Structural maintenance of chromosomes protein 5,SMC5,1,2321,1813,52232,SMC5,HGNC:20465,structural maintenance of chromosomes 5,10,solute carrier family 25 member 18,0
SIAH1_HUMAN,Q8IUQ4,SIAH1,E3 ubiquitin-protein ligase SIAH1,5,14,4,23,bin_5,E3 ubiquitin-protein ligase SIAH1,SIAH1,1,2254,1849,1149,SIAH1,HGNC:10857,siah E3 ubiquitin protein ligase 1,10,solute carrier family 25 member 18,0
EHMT1_HUMAN,Q9H9B1,EHMT1,Histone-lysine N-methyltransferase EHMT1,9,9,4,22,bin_5,Histone-lysine N-methyltransferase EHMT1,EHMT1,1,2149,1898,544,EHMT1,HGNC:24650,euchromatic histone lysine methyltransferase 1,10,solute carrier family 25 member 18,0
PLEC_HUMAN,Q6S382,PLEC,Plectin,7,33,17,57,bin_5,Plectin,PLEC,1,2146,1900,3647,PLEC,HGNC:9069,plectin,10,solute carrier family 25 member 18,0
FCERG_HUMAN,P30273,FCER1G,High affinity immunoglobulin epsilon receptor subunit gamma,5,17,7,29,bin_5,High affinity immunoglobulin epsilon receptor subunit gamma,FCER1G,1,2291,1825,295,FCER1G,HGNC:3611,Fc epsilon receptor Ig,10,apolipoprotein E,0
APOA2_HUMAN,P02652,APOA2,Truncated apolipoprotein A-II,16,37,10,63,bin_5,Truncated apolipoprotein A-II,APOA2,1,2341,1802,372,APOA2,HGNC:601,apolipoprotein A2,10,apolipoprotein E,0
VGLU1_HUMAN,Q9P2U7,SLC17A7,Vesicular glutamate transporter 1 ,7,14,8,29,bin_5,Vesicular glutamate transporter 1,SLC17A7,1,1822,2100,2932,SLC17A7,HGNC:16704,solute carrier family 17 member 7,11,solute carrier family 25 member 18,0
PRDM9_HUMAN,Q9NQV7,PRDM9,Histone-lysine N-methyltransferase PRDM9 ,11,11,3,25,bin_5,Histone-lysine N-methyltransferase PRDM9,PRDM9,1,1808,2105,252,PRDM9,HGNC:13994,PR/SET domain 9,11,solute carrier family 25 member 18,0
NHRF1_HUMAN,O14745,NHERF1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 ,17,42,17,76,bin_5,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,SLC9A3R1,0,1891,2054,88,NHERF1,HGNC:11075,NHERF family PDZ scaffold protein 1,11,solute carrier family 25 member 18,0
NSD2_HUMAN,Q6IS00,NSD2,Histone-lysine N-methyltransferase NSD2,8,11,5,24,bin_5,Histone-lysine N-methyltransferase NSD2,WHSC1,0,1862,2076,451,NSD2,HGNC:12766,nuclear receptor binding SET domain protein 2,11,solute carrier family 25 member 18,0
GIPR_HUMAN,P48546,GIPR,Gastric inhibitory polypeptide receptor,5,17,2,24,bin_5,Gastric inhibitory polypeptide receptor,GIPR,1,1989,1996,636,GIPR,HGNC:4271,gastric inhibitory polypeptide receptor,11,solute carrier family 25 member 18,0
CCN3_HUMAN,P48745,CCN3,CCN family member 3 ,4,28,8,40,bin_5,CCN family member 3,NOV,0,1807,2106,5085,CCN3,HGNC:7885,cellular communication network factor 3,11,solute carrier family 25 member 18,0
SEM3C_HUMAN,Q99985,SEMA3C,Semaphorin-3C,2,18,3,23,bin_5,Semaphorin-3C,SEMA3C,1,1702,2174,864,SEMA3C,HGNC:10725,semaphorin 3C,11,solute carrier family 25 member 18,0
EPHB3_HUMAN,P54753,EPHB3,Ephrin type-B receptor 3,4,20,4,28,bin_5,Ephrin type-B receptor 3,EPHB3,1,2003,1986,1326,EPHB3,HGNC:3394,EPH receptor B3,11,apolipoprotein E,0
MAGI2_HUMAN,Q86UL8,MAGI2,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2",5,16,17,38,bin_5,MAGI2,MAGI2,1,1742,2152,464,MAGI2,HGNC:18957,"membrane associated guanylate kinase, WW and PDZ domain containing 2",11,solute carrier family 25 member 18,0
HXA3_HUMAN,O43365,HOXA3,Homeobox protein Hox-A3,3,15,3,21,bin_5,Homeobox protein Hox-A3,HOXA3,1,1737,2156,19,HOXA3,HGNC:5104,homeobox A3,11,solute carrier family 25 member 18,0
CSHPGCGKTY,Q13118,KLF10,Krueppel-like factor 10,7,12,2,21,bin_5,Krueppel-like factor 10,KLF10,1,1843,2085,64,KLF10,HGNC:11810,KLF transcription factor 10,11,solute carrier family 25 member 18,0
CUL4B_HUMAN,Q9UED7,CUL4B,Cullin-4B ,1,15,6,22,bin_5,Cullin-4B,CUL4B,1,1831,2095,535,CUL4B,HGNC:2555,cullin 4B,11,apolipoprotein E,0
GRHL2_HUMAN,Q6ISB3,GRHL2,Grainyhead-like protein 2 homolog,10,22,5,37,bin_5,Grainyhead-like protein 2 homolog,GRHL2,1,1757,2142,437,GRHL2,HGNC:2799,grainyhead like transcription factor 2,11,apolipoprotein E,0
ENPP2_HUMAN,Q9UCR2,ENPP2,Autotaxin ,9,10,2,21,bin_5,Autotaxin,ENPP2,1,1986,1997,4101,ENPP2,HGNC:3357,ectonucleotide pyrophosphatase/phosphodiesterase 2,11,apolipoprotein E,0
ITB8_HUMAN,P26012,ITGB8,Integrin beta-8 ,3,16,6,25,bin_5,Integrin beta-8,ITGB8,1,1833,2092,805,ITGB8,HGNC:6163,integrin subunit beta 8,11,solute carrier family 25 member 18,0
KCNN4_HUMAN,O15554,KCNN4,Intermediate conductance calcium-activated potassium channel protein 4,6,13,6,25,bin_5,Intermediate conductance calcium-activated potassium channel protein 4,KCNN4,1,1778,2131,9172,KCNN4,HGNC:6293,potassium calcium-activated channel subfamily N member 4,11,solute carrier family 25 member 18,0
GBP5_HUMAN,Q96PP8,GBP5,Guanylate-binding protein 5,6,17,9,32,bin_5,Guanylate-binding protein 5,GBP5,1,1705,2172,4150,GBP5,HGNC:19895,guanylate binding protein 5,11,solute carrier family 25 member 18,0
NUP62_HUMAN,P37198,NUP62,Nuclear pore glycoprotein p62,9,25,11,45,bin_5,Nuclear pore glycoprotein p62,NUP62,1,1709,2168,1410,NUP62,HGNC:8066,nucleoporin 62,11,solute carrier family 25 member 18,0
SCP2_HUMAN,Q16622,SCP2,Sterol carrier protein 2,12,15,9,36,bin_5,Sterol carrier protein 2,SCP2,1,1951,2016,1108,SCP2,HGNC:10606,sterol carrier protein 2,11,solute carrier family 25 member 18,0
RIGI_HUMAN,O95786,RIGI,Antiviral innate immune response receptor RIG-I ,11,23,6,40,bin_5,RIG-I,DDX58,0,1761,2139,19276,RIGI,HGNC:19102,RNA sensor RIG-I,11,solute carrier family 25 member 18,0
SMC2_HUMAN,O95347,SMC2,Structural maintenance of chromosomes protein 2,4,8,11,23,bin_5,Structural maintenance of chromosomes protein 2,SMC2,1,1913,2041,53374,SMC2,HGNC:14011,structural maintenance of chromosomes 2,11,solute carrier family 25 member 18,0
ILF3_HUMAN,Q9NRN2,ILF3,Interleukin enhancer-binding factor 3,6,6,9,21,bin_5,Interleukin enhancer-binding factor 3,ILF3,1,1780,2128,674,ILF3,HGNC:6038,interleukin enhancer binding factor 3,11,solute carrier family 25 member 18,0
FOLR1_HUMAN,P15328,FOLR1,Folate receptor alpha,3,15,16,34,bin_5,Folate receptor alpha,FOLR1,1,1757,2143,31404,FOLR1,HGNC:3791,folate receptor alpha,11,apolipoprotein E,0
VVAGKKYFID,P01042,KNG1,Low molecular weight growth-promoting factor,5,8,8,21,bin_5,no appropriate match,XXXX,0,1833,2094,15790,KNG1,HGNC:6383,kininogen 1,11,solute carrier family 25 member 18,0
GBF1_HUMAN,Q92538,GBF1,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,3,22,9,34,bin_5,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,GBF1,1,1961,2011,130,GBF1,HGNC:4181,golgi brefeldin A resistant guanine nucleotide exchange factor 1,11,solute carrier family 25 member 18,0
ADA2A_HUMAN,P08913,ADRA2A,Alpha-2A adrenergic receptor ,10,42,11,63,bin_5,Alpha-2A adrenergic receptor,ADRA2A,1,1900,2047,21571,ADRA2A,HGNC:281,adrenoceptor alpha 2A,11,apolipoprotein E,0
NPAS4_HUMAN,Q8IUM7,NPAS4,Neuronal PAS domain-containing protein 4 ,6,13,5,24,bin_5,Neuronal PAS domain-containing protein 4,NPAS4,1,1830,2096,1760,NPAS4,HGNC:18983,neuronal PAS domain protein 4,11,solute carrier family 25 member 18,0
TRIB1_HUMAN,Q96RU8,TRIB1,Tribbles homolog 1,5,12,3,20,bin_5,Tribbles homolog 1,TRIB1,1,1825,2098,2051,TRIB1,HGNC:16891,tribbles pseudokinase 1,11,solute carrier family 25 member 18,0
DNLI1_HUMAN,P18858,LIG1,DNA ligase 1,5,11,4,20,bin_5,DNA ligase 1,LIG1,1,1944,2023,236794,LIG1,HGNC:6598,DNA ligase 1,11,solute carrier family 25 member 18,0
KPCG_HUMAN,P05129,PRKCG,Protein kinase C gamma type,8,23,11,42,bin_5,protein,PRKCG,1,1984,2000,1148,PRKCG,HGNC:9402,protein kinase C gamma,11,solute carrier family 25 member 18,0
PP2AA_HUMAN,P67775,PPP2CA,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,8,21,14,43,bin_5,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,1,1559,2298,1972,PPP2CA,HGNC:9299,protein phosphatase 2 catalytic subunit alpha,12,solute carrier family 25 member 18,0
SLAF1_HUMAN,Q13291,SLAMF1,Signaling lymphocytic activation molecule,7,22,4,33,bin_5,Signaling lymphocytic activation molecule,SLAMF1,1,1551,2303,196218,SLAMF1,HGNC:10903,signaling lymphocytic activation molecule family member 1,12,solute carrier family 25 member 18,0
PDGFC_HUMAN,Q9NRA1,PDGFC,"Platelet-derived growth factor C, receptor-binding form",3,16,9,28,bin_5,"Platelet-derived growth factor C, receptor-binding form",PDGFC,1,1612,2252,63,PDGFC,HGNC:8801,platelet derived growth factor C,12,solute carrier family 25 member 18,0
PLSL_HUMAN,P13796,LCP1,Plastin-2,5,16,12,33,bin_5,Plastin-2,LCP1,1,1589,2274,372,LCP1,HGNC:6528,lymphocyte cytosolic protein 1,12,solute carrier family 25 member 18,0
EAA3_HUMAN,P43005,SLC1A1,Excitatory amino acid transporter 3 ,11,59,27,97,bin_5,Excitatory amino acid transporter 3,SLC1A1,1,1674,2194,637,SLC1A1,HGNC:10939,solute carrier family 1 member 1,12,solute carrier family 25 member 18,0
ACKR3_HUMAN,P25106,ACKR3,Atypical chemokine receptor 3 ,6,14,8,28,bin_5,Atypical chemokine receptor 3,ACKR3,1,1551,2304,19977,ACKR3,HGNC:23692,atypical chemokine receptor 3,12,solute carrier family 25 member 18,0
UBP13_HUMAN,Q92995,USP13,Ubiquitin carboxyl-terminal hydrolase 13,10,12,3,25,bin_5,Ubiquitin carboxyl-terminal hydrolase 13,USP13,1,1485,2372,4453,USP13,HGNC:12611,ubiquitin specific peptidase 13,12,solute carrier family 25 member 18,0
